"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ZNF552",-243.750594227504,454.563768115942,-5.92044593323338,1.17503278432264e-07,2.27723912656793e-06,-3.97869065830814,"Downregulated"
"CA9",-2519.96663837012,2297.18260869565,-5.91960285310066,1.17900984503547e-07,2.28287518226859e-06,-3.97881284741063,"Downregulated"
"ME1",-1083.48797396718,1515.25024154589,-5.9165263448732,1.19363586227441e-07,2.30492595936661e-06,-3.97925878089032,"Downregulated"
"TSKU",-645.591850594228,1199.56956521739,-5.90909690106585,1.22969987469023e-07,2.36917017673837e-06,-3.98033598405309,"Downregulated"
"HOMER2",-555.944906621392,490.585507246377,-5.90881859306191,1.2310715659564e-07,2.36917017673837e-06,-3.98037634502691,"Downregulated"
"HSD17B6",-232.504626485569,328.836231884058,-5.90876359016316,1.2313428366248e-07,2.36917017673837e-06,-3.98038432176994,"Downregulated"
"CCDC32",-102.358743633277,335.41884057971,-5.90663351522819,1.24189380261085e-07,2.38732006681908e-06,-3.98069325289409,"Downregulated"
"TAS1R2",-102.835653650255,105.559420289855,-5.90429130517019,1.25359872505716e-07,2.4076535945185e-06,-3.98103299340189,"Downregulated"
"TTLL11",-64.8972623089983,177.198188405797,-5.90351422197547,1.25750614795828e-07,2.41298821221429e-06,-3.98114572018515,"Downregulated"
"GPRC5C",-846.474320882852,1032.94347826087,-5.89722915507164,1.28955510988668e-07,2.46341936331393e-06,-3.98205763775176,"Downregulated"
"SST",-4457.61409168082,2631.80144927536,-5.89390259897363,1.30684334951764e-07,2.49198691211145e-06,-3.98254042676481,"Downregulated"
"COBLL1",-531.625415959253,674.033043478261,-5.89065802023489,1.32392617820522e-07,2.52230966886075e-06,-3.98301140460911,"Downregulated"
"MTHFR",-107.576723259762,348.494202898551,-5.88782008294685,1.33904885100704e-07,2.54828175196057e-06,-3.98342342479428,"Downregulated"
"SMAP2",-785.853904923599,1439.54637681159,-5.88474571881226,1.35562407425778e-07,2.56894972084502e-06,-3.9838698434359,"Downregulated"
"SSTR2",-79.0533319185059,181.852898550725,-5.88372527982597,1.36117039802874e-07,2.57717342116134e-06,-3.98401803496086,"Downregulated"
"LYVE1",-235.989431239389,257.070289855072,-5.88199878047922,1.37060544062948e-07,2.59273874185331e-06,-3.98426878197623,"Downregulated"
"SLC2A10",-1175.75169779287,1576.1652173913,-5.87213834032272,1.42574299278643e-07,2.68751924950925e-06,-3.98570131466472,"Downregulated"
"C1orf105",-317.875891341256,361.992753623188,-5.87061966083893,1.43442773193026e-07,2.70150556180198e-06,-3.98592201871162,"Downregulated"
"MPV17L",-623.526443123939,1029.75217391304,-5.86160949703132,1.48703899744124e-07,2.78585016389058e-06,-3.98723180967014,"Downregulated"
"CCNJL",-141.80441426146,152.214492753623,-5.86067190239993,1.49262204429306e-07,2.7938588080602e-06,-3.98736814307544,"Downregulated"
"SKIC3",-465.491567628749,1208.52512077295,-5.86030370785324,1.49482017310774e-07,2.79505046931482e-06,-3.98742168327112,"Downregulated"
"GHRL",-1464.88276740238,857.359420289855,-5.85652435487323,1.51756872777331e-07,2.83310448593134e-06,-3.9879713114733,"Downregulated"
"GIPR",-74.6831494057725,92.4072463768116,-5.85092140080443,1.55192469791411e-07,2.88966484510476e-06,-3.98878635174695,"Downregulated"
"PDK1",-538.422835314092,821.086956521739,-5.84617386958651,1.58163603409964e-07,2.94242167075487e-06,-3.98947715001194,"Downregulated"
"ZNF536",-59.6643746462931,102.357487922705,-5.8449374321225,1.58946579506745e-07,2.95099682628885e-06,-3.98965708910944,"Downregulated"
"RAB11A",-1218.90387662705,4242.71207729469,-5.8447917784829,1.59039066678769e-07,2.95099682628885e-06,-3.98967828691278,"Downregulated"
"HEIH",-552.690322580645,1712.61014492754,-5.84413889190445,1.59454290452836e-07,2.95613305659828e-06,-3.98977330725198,"Downregulated"
"PIERCE2",-407.199405772496,552.242028985507,-5.84180710297175,1.60946027478351e-07,2.97861725204085e-06,-3.99011270024414,"Downregulated"
"COMMD10",-206.100742784381,693.999275362319,-5.84094130939607,1.61503412677786e-07,2.98634492169652e-06,-3.99023872771919,"Downregulated"
"TMC4",-1176.62062818336,2596.36086956522,-5.83439081903001,1.65782775367502e-07,3.05489450692298e-06,-3.99119242566305,"Downregulated"
