"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"VSIG1",-6745.33934634974,4697.93188405797,-12.5630613716794,2.22120599221297e-19,4.74382963756925e-15,-3.28637933510695,"Downregulated"
"RAB27A",-3403.48794567063,3050.31275362319,-12.307278550215,5.89802769802598e-19,6.29820887733705e-15,-3.30337985525969,"Downregulated"
"ANXA10",-18684.9556027165,13143.6507246377,-12.139157626423,1.12556400736938e-18,7.66207345122912e-15,-3.31489302675202,"Downregulated"
"ADTRP",-2315.87075551783,1933.44130434783,-12.0761942635383,1.43504676709821e-18,7.66207345122912e-15,-3.31927567727064,"Downregulated"
"AKR1B10",-29052.3791171477,20232.5971014493,-11.8796878618901,3.07218323695357e-18,1.16003718498474e-14,-3.33320694330965,"Downregulated"
"SMIM5",-920.096519524618,692.189855072464,-11.8644988412911,3.25898914169052e-18,1.16003718498474e-14,-3.33429993299432,"Downregulated"
"CYP2C9",-708.778013582343,650.553416149068,-11.7284002397948,5.53754545279929e-18,1.54787759109906e-14,-3.34419866084392,"Downregulated"
"CAPN13",-430.041001697793,326.821739130435,-11.7166222613176,5.79810868979374e-18,1.54787759109906e-14,-3.34506425995077,"Downregulated"
"ABCC5",-556.74247311828,674.514009661836,-11.3051449505351,2.91946470217683e-17,6.92788973826563e-14,-3.37622374837268,"Downregulated"
"CAPN9",-1456.7337860781,981.095652173913,-11.2089092848677,4.27261828221119e-17,9.12503086531843e-14,-3.38377492243621,"Downregulated"
"FUT9",-1319.00741369553,809.058937198068,-10.9019272167512,1.44950951062675e-16,2.81428860167778e-13,-3.40855360311283,"Downregulated"
"PBLD",-2915.58030560272,2449.23260869565,-10.8784413461932,1.59217323908142e-16,2.83367032225515e-13,-3.41049341210126,"Downregulated"
"TMEM266",-240.401612903226,275.05652173913,-10.7990655925223,2.18758678746349e-16,3.4282543684716e-13,-3.41709658387111,"Downregulated"
"ADRB2",-449.853735144313,403.331884057971,-10.7810451015436,2.35141435758845e-16,3.4282543684716e-13,-3.41860587070515,"Downregulated"
"SLC41A2",-912.214346349745,1033.72753623188,-10.7751318821409,2.40782017732237e-16,3.4282543684716e-13,-3.41910195053913,"Downregulated"
"TMEM100",-736.927079796265,698.317391304348,-10.6680122311797,3.70159664790558e-16,4.94093747558247e-13,-3.42815947321789,"Downregulated"
"ADAM28",-844.731897283531,711.194202898551,-10.6292195655838,4.32663197406863e-16,5.4355222982461e-13,-3.43147292891955,"Downregulated"
"PGRMC2",-1488.58548387097,2307.4847826087,-10.6146476039287,4.5879688263545e-16,5.44362501246962e-13,-3.43272219285839,"Downregulated"
"VSIG2",-3947.68875212224,2505.06376811594,-10.5967307216426,4.93117326296238e-16,5.54289828300461e-13,-3.4342616770519,"Downregulated"
"SLC7A8",-698.987504244482,771.836811594203,-10.4733071652946,8.11235244245794e-16,8.66277555567871e-13,-3.44497091041502,"Downregulated"
"EIF2AK3",-1043.49622241087,1575.87898550725,-10.4168441737273,1.01921695739861e-15,1.03654364567439e-12,-3.44993122356657,"Downregulated"
"ADH1A",-455.616553480475,487.242028985507,-10.3218498823546,1.49736150106571e-15,1.4000239251297e-12,-3.4583639751124,"Downregulated"
"SULT1B1",-993.111629881156,937.546376811594,-10.3201479896707,1.50772815835478e-15,1.4000239251297e-12,-3.45851605955252,"Downregulated"
"CYP3A43",-301.297771646859,323.680797101449,-10.2940073960827,1.67633743720802e-15,1.49173077693549e-12,-3.4608564996535,"Downregulated"
"MYZAP",-789.640747028863,1068.26086956522,-10.2683554968668,1.86022744386219e-15,1.58915510074259e-12,-3.46316135251221,"Downregulated"
"ID4",-636.81415959253,693.033333333333,-10.248494790922,2.0164311691392e-15,1.65634309535792e-12,-3.464951429967,"Downregulated"
"SPTSSB",-375.344227504244,324.414492753623,-10.2150390913619,2.30997011305203e-15,1.82718635942416e-12,-3.46797786705073,"Downregulated"
"ABCA8",-485.740407470289,398.376811594203,-10.1364699091041,3.17974858080835e-15,2.42535323001157e-12,-3.47513993774474,"Downregulated"
"TMT1A",-2405.31767826825,2298.17826086957,-10.0939793275779,3.78049946394089e-15,2.78414231211674e-12,-3.47904530344292,"Downregulated"
"SYTL5",-978.378607809847,645.916666666667,-10.0451057808207,4.61403677683767e-15,3.28473278143074e-12,-3.48356534072645,"Downregulated"
"ELL2",-1222.92067062818,1240.6268115942,-9.94511680461865,6.94054106833504e-15,4.63216048738848e-12,-3.49290667052235,"Downregulated"
"SAR1B",-981.943599320883,1679.03043478261,-9.90974662481723,8.02054663016648e-15,5.1907519509232e-12,-3.49624146053401,"Downregulated"
"FAM20A",-262.842041595925,247.474637681159,-9.88804273845014,8.76533024215873e-15,5.50591641122894e-12,-3.49829565568486,"Downregulated"
"MAGI3",-288.886021505376,451.756038647343,-9.87261882867446,9.33650538723425e-15,5.69713558729034e-12,-3.49975913252305,"Downregulated"
"AMPD1",-372.035398981324,316.717391304348,-9.79151648384284,1.30161475212026e-14,7.72182951695347e-12,-3.50750461245322,"Downregulated"
"COL4A6",-147.210696095076,159.01884057971,-9.73172639210068,1.66344175613541e-14,9.60165556372539e-12,-3.51326897202518,"Downregulated"
"SMIM14",-1215.21006791171,1816.27710144928,-9.7105192093371,1.81476575729867e-14,1.01994611259547e-11,-3.51532466868617,"Downregulated"
"ADAMTSL1",-77.7135823429542,93.8797101449275,-9.68730153941731,1.99634488616358e-14,1.06589844334489e-11,-3.51758194218248,"Downregulated"
"GPD1L",-1566.81256366723,2170.41449275362,-9.68002926328575,2.05689124270323e-14,1.07143966513202e-11,-3.51829040971391,"Downregulated"
"SOSTDC1",-5270.16544991511,2949.47391304348,-9.65515462550693,2.27828353503403e-14,1.15850717756481e-11,-3.52071890841249,"Downregulated"
"FER1L4",-462.174660441426,458.302898550725,-9.63807950315194,2.4439668621286e-14,1.19574883137789e-11,-3.52239061131293,"Downregulated"
"RAB27B",-1999.64646293152,2198.30241545894,-9.6335785292347,2.4896216877581e-14,1.19574883137789e-11,-3.52283190294606,"Downregulated"
"SGSM3",-520.929909451047,823.106763285024,-9.63067876906791,2.5194876345931e-14,1.19574883137789e-11,-3.52311634592471,"Downregulated"
"HPGD",-7376.78777589134,5101.96557971014,-9.60554047245496,2.79395717662963e-14,1.29718572654955e-11,-3.52558681397117,"Downregulated"
"MYRF",-905.029202037352,963.231884057971,-9.53236596244466,3.77619485027818e-14,1.71591900888066e-11,-3.5328251668073,"Downregulated"
"CYP2C18",-2374.42843803056,1968.36956521739,-9.51552091596657,4.04759179661689e-14,1.77314057612253e-11,-3.53450142425873,"Downregulated"
"ENPP6",-94.1837860780985,86.2855072463768,-9.51429035445094,4.06816913564657e-14,1.77314057612253e-11,-3.53462402438861,"Downregulated"
"SELENBP1",-2282.3455008489,2446.41739130435,-9.49950836546996,4.32371880687278e-14,1.84683325116764e-11,-3.53609830506204,"Downregulated"
"ERLN",-968.150848896434,932.405797101449,-9.46283509284935,5.02953667228957e-14,2.10619244529585e-11,-3.53976836159801,"Downregulated"
"MON2",-261.654329371817,540.414492753623,-9.44364923364006,5.44377324107724e-14,2.23582048287859e-11,-3.54169545810816,"Downregulated"
"IQGAP2",-1621.71544991511,2089.7152173913,-9.43431502473565,5.65752517358713e-14,2.27976915343963e-11,-3.54263478158664,"Downregulated"
"PPFIBP2",-504.571986417657,649.439130434783,-9.38115317334979,7.04593567093628e-14,2.7866675578553e-11,-3.54800661664592,"Downregulated"
"SHISA6",-98.3344086021505,126.412560386473,-9.37407025366526,7.25510295664631e-14,2.81722243354719e-11,-3.54872515720771,"Downregulated"
"PIK3C2G",-1149.8265704584,920.249275362319,-9.36810888758315,7.43597331079019e-14,2.83589432140261e-11,-3.54933043683922,"Downregulated"
"PER3",-222.259125636672,305.517391304348,-9.327470654111,8.79562142493451e-14,3.29558046968994e-11,-3.55346919911423,"Downregulated"
