"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"SHLD2",202.199235993209,1292.16739130435,2.70916561544066,0.00852998313436445,0.0230776348873349,-4.43970010201778,"Upregulated"
"FLJ42627",-67.0780984719864,244.968115942029,-2.70896956792508,0.00853452403139149,0.0230852280886835,-4.43972411994728,"Downregulated"
"DERL2",-179.778904923599,1051.0268115942,-2.70891686500641,0.00853574512504793,0.0230852280886835,-4.43973057643809,"Downregulated"
"PTBP3",295.212750424448,1602.60028985507,2.70890446255347,0.00853603250533005,0.0230852280886835,-4.43973209581746,"Upregulated"
"ZNF408",99.09779286927,332.930434782609,2.70864562746533,0.00854203205485992,0.0230985285636418,-4.43976380377852,"Upregulated"
"C16orf54",-574.840237691002,1096.48260869565,-2.70846605391224,0.00854619666172953,0.0231060951859566,-4.4397858008956,"Downregulated"
"SHPK",-49.3994906621392,263.320289855072,-2.70843168038678,0.00854699405202309,0.0231060951859566,-4.43979001142631,"Downregulated"
"MAML1",242.20492359932,1669.50434782609,2.70791970181559,0.00855887888094811,0.02313298899286,-4.43985272151291,"Upregulated"
"KRT82",-120.728013582343,337.992753623188,-2.70787670727039,0.00855987762305619,0.02313298899286,-4.43985798739823,"Downregulated"
"EID3",-44.7425297113752,141.304347826087,-2.70782136798704,0.00856116328410498,0.02313298899286,-4.43986476516596,"Downregulated"
"OR7A5",-40.1832767402377,67.6507246376812,-2.7078165701383,0.00856127475767033,0.02313298899286,-4.43986535278615,"Downregulated"
"ESAM-AS1",-36.5723684210526,100.858695652174,-2.70776123407707,0.00856256053559682,0.023133536414768,-4.43987213006595,"Downregulated"
"HCAR3",1008.42300509338,634.595652173913,2.7076351801717,0.00856549015839579,0.0231385243249252,-4.43988756818771,"Upregulated"
